Conditions	BTR	Leaf Size
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 18.5) & (df['firstsessionlength'] <= 47.5) & (df['personahintacteduponcount'] > 0.5) & (df['recordhintsgeneratedcount'] > 15.5)	0.390029325513	682
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 18.5) & (df['firstsessionlength'] > 47.5) & (df['signupsubscription'] <= 0.5) & (df['recordhintsgeneratedcount'] <= 16.5)	0.469053398058	1648
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 18.5) & (df['firstsessionlength'] > 47.5) & (df['signupsubscription'] <= 0.5) & (df['recordhintsgeneratedcount'] > 16.5)	0.534470246734	2756
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 18.5) & (df['firstsessionlength'] > 47.5) & (df['signupsubscription'] > 0.5) & (df['firstsessionlength'] <= 93.5)	0.399204244032	754
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 18.5) & (df['firstsessionlength'] > 47.5) & (df['signupsubscription'] > 0.5) & (df['firstsessionlength'] > 93.5)	0.466183574879	828
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] > 18.5) & (df['signupsubscription'] <= 0.5) & (df['secondsessionlength'] <= 62.5) & (df['searchcountin2hours'] <= 12.5)	0.590027700831	722
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] > 18.5) & (df['signupsubscription'] <= 0.5) & (df['secondsessionlength'] <= 62.5) & (df['searchcountin2hours'] > 12.5)	0.52210175146	1199
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] > 18.5) & (df['signupsubscription'] <= 0.5) & (df['secondsessionlength'] > 62.5) & (df['familytreeviewin2hours'] <= 4.5)	0.629937629938	962
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] > 18.5) & (df['signupsubscription'] <= 0.5) & (df['secondsessionlength'] > 62.5) & (df['familytreeviewin2hours'] > 4.5)	0.559451219512	656
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] > 18.5) & (df['signupsubscription'] > 0.5) & (df['familytreeviewin2hours'] <= 1.5)	0.505295007564	661
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] > 18.5) & (df['signupsubscription'] > 0.5) & (df['familytreeviewin2hours'] > 1.5)	0.445799457995	738
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] > 0.5) & (df['totalpendinghintscountatsignup'] <= 0.5) & (df['firstsessionlength'] <= 122.5) & (df['searchcountin2hours'] <= 15.5)	0.574733096085	1124
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] > 0.5) & (df['totalpendinghintscountatsignup'] <= 0.5) & (df['firstsessionlength'] <= 122.5) & (df['searchcountin2hours'] > 15.5) & (df['secondsessionlength'] <= 1.5)	0.476543209877	810
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] > 0.5) & (df['totalpendinghintscountatsignup'] <= 0.5) & (df['firstsessionlength'] <= 122.5) & (df['searchcountin2hours'] > 15.5) & (df['secondsessionlength'] > 1.5)	0.55230125523	717
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] > 0.5) & (df['totalpendinghintscountatsignup'] <= 0.5) & (df['firstsessionlength'] > 122.5)	0.613415710503	1133
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] > 0.5) & (df['totalpendinghintscountatsignup'] > 0.5) & (df['personahintsgeneratedcount'] <= 6.5)	0.580291970803	1096
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] > 0.5) & (df['totalpendinghintscountatsignup'] > 0.5) & (df['personahintsgeneratedcount'] > 6.5) & (df['searchdbcountin2hours'] <= 7.5)	0.701996927803	651
(df['personahintsgeneratedcount'] > 0.5) & (df['regtype'] > 0.5) & (df['totalpendinghintscountatsignup'] > 0.5) & (df['personahintsgeneratedcount'] > 6.5) & (df['searchdbcountin2hours'] > 7.5)	0.625563909774	665
